ticker,error_type,error_message,response_seconds,structural_error
AGNCM,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.092,True
AGNCN,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.219,True
AGNCO,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.164,True
AGNCP,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.243,True
AGNCZ,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.143,True
AGQ,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.038,True
AGRO,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.891,True
AGRZ,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.916,True
AHG,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.208,True
AHMA,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.151,True
AIAI,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.136,True
AIB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.04,True
AIBZ,HTTPError,404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0002100457.json,12.083,False
AIFU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.015,True
AIIO,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.068,True
AIIOW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.049,True
AIIR,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.89,True
AIOS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.205,True
AIQD,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.168,True
AIQU,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.184,True
AIRJ,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.022,True
AIRJW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.032,True
AIXI,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.142,True
AKAN,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.047,True
AKTS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.021,True
AKTX,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.102,True
ALAR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.155,True
ALC,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.149,True
ALDF,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.061,True
ALDFU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.996,True
ALDFW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.096,True
ALDX,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.129,True
ALLR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.03,True
ALLT,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.209,True
ALM,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.005,True
ALMR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.086,True
ALP,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.129,True
ALPS,HTTPError,404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0002025774.json,11.685,False
ALRS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.123,True
ALVO,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.094,True
ALVOW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.125,True
ALZN,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.111,True
AMAL,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.085,True
AMBP,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.057,True
AMBR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.161,True
AMSS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.561,True
AMTB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.198,True
AMTD,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.111,True
AMUB,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.111,True
AMX,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.021,True
ANGH,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.997,True
ANGHW,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.061,True
ANL,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.051,True
ANNX,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.256,True
ANPA,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.971,True
ANRO,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.103,True
ANTA,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.107,True
ANTX,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.14,True
AOD,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.95,True
AOMD,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.045,True
AOMN,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.015,True
AOMR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.107,True
APA,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.964,True
APAC,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.722,True
APACR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.836,True
APACU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.037,True
APC,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.008,True
APGE,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.88,True
API,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.025,True
APLM,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.127,True
APLMW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.002,True
