ticker,error_type,error_message,response_seconds,structural_error
AACB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.635,True
AACBR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.778,True
AACBU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.643,True
AACG,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.594,True
AADX,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.599,True
AAPG,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.852,True
AARD,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.703,True
AAUC,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.817,True
AB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.941,True
ABCB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.4,True
ABEV,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.866,True
ABLV,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.715,True
ABLVW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.345,True
ABOS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.092,True
ABR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.072,True
ABTS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.043,True
ABVX,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.146,True
ACB,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.048,True
ACCL,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.983,True
ACET,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.17,True
